Date,Close,High,Low,Open,Volume
2015-01-02,8395.450195,8410.599609,8288.700195,8288.700195,101900
2015-01-05,8378.400391,8445.599609,8363.900391,8407.950195,118200
2015-01-06,8127.350098,8327.849609,8111.350098,8325.299805,172800
2015-01-07,8102.100098,8151.200195,8065.450195,8118.649902,164100
2015-01-08,8234.599609,8243.5,8167.299805,8191.399902,143800
2015-01-09,8284.5,8303.299805,8190.799805,8285.450195,148000
2015-01-12,8323.0,8332.599609,8245.599609,8291.349609,103200
2015-01-13,8299.400391,8356.650391,8267.900391,8346.150391,129600
2015-01-14,8277.549805,8326.450195,8236.650391,8307.25,146100
2015-01-15,8494.150391,8527.099609,8380.549805,8424.5,232100
2015-01-16,8513.799805,8530.75,8452.25,8504.049805,176000
2015-01-19,8550.700195,8570.950195,8531.5,8550.049805,125400
2015-01-20,8695.599609,8707.900391,8574.5,8575.099609,158700
2015-01-21,8729.5,8741.849609,8689.599609,8719.650391,185900
2015-01-22,8761.400391,8774.150391,8727.0,8745.849609,175500
2015-01-23,8835.599609,8866.400391,8795.400391,8827.950195,191200
2015-01-27,8910.5,8925.049805,8825.450195,8871.349609,192000
2015-01-28,8914.299805,8985.049805,8874.049805,8902.75,185100
2015-01-29,8952.349609,8966.650391,8861.25,8901.5,256300
2015-01-30,8808.900391,8996.599609,8775.099609,8996.599609,267300
2015-02-02,8797.400391,8840.799805,8751.099609,8802.5,210100
2015-02-03,8756.549805,8837.299805,8726.650391,8823.150391,208700
2015-02-04,8723.700195,8792.849609,8704.400391,8789.150391,195300
2015-02-05,8711.700195,8838.450195,8683.650391,8733.099609,173600
2015-02-06,8661.049805,8726.200195,8645.549805,8696.849609,171300
2015-02-09,8526.349609,8605.549805,8516.349609,8584.400391,146800
2015-02-10,8565.549805,8646.25,8470.5,8478.099609,196200
2015-02-11,8627.400391,8651.950195,8593.650391,8603.299805,161600
2015-02-12,8711.549805,8732.549805,8599.25,8676.950195,158800
2015-02-13,8805.5,8822.099609,8729.650391,8741.5,221900
2015-02-16,8809.349609,8870.099609,8793.400391,8831.400391,136400
2015-02-18,8869.099609,8894.299805,8808.900391,8811.549805,147600
2015-02-19,8895.299805,8913.450195,8794.450195,8883.049805,213300
2015-02-20,8833.599609,8899.950195,8816.299805,8895.5,197600
2015-02-23,8754.950195,8869.0,8736.099609,8856.849609,139600
2015-02-24,8762.099609,8800.5,8726.75,8772.900391,149800
2015-02-25,8767.25,8840.650391,8751.400391,8801.900391,135200
2015-02-26,8683.849609,8786.049805,8669.450195,8779.0,217500
2015-02-27,8844.599609,8856.950195,8717.450195,8729.5,249500
2015-03-02,8956.75,8972.349609,8885.450195,8953.849609,218100
2015-03-03,8996.25,9008.400391,8925.549805,8962.849609,177800
2015-03-04,8922.650391,9119.200195,8893.950195,9109.150391,248400
2015-03-05,8937.75,8957.549805,8849.349609,8929.400391,160100
2015-03-09,8756.75,8891.299805,8740.450195,8891.150391,155500
2015-03-10,8712.049805,8778.0,8677.349609,8769.75,163800
2015-03-11,8699.950195,8755.599609,8682.349609,8728.75,172800
2015-03-12,8776.0,8787.200195,8732.900391,8740.650391,173900
2015-03-13,8647.75,8849.75,8631.75,8844.049805,179200
2015-03-16,8633.150391,8663.549805,8612.0,8656.75,163300
2015-03-17,8723.299805,8742.549805,8630.799805,8689.099609,177000
2015-03-18,8685.900391,8747.25,8664.0,8742.900391,156400
2015-03-19,8634.650391,8788.200195,8614.650391,8749.450195,163500
2015-03-20,8570.900391,8627.900391,8553.0,8627.900391,174600
2015-03-23,8550.900391,8608.349609,8540.549805,8591.549805,150700
2015-03-24,8542.950195,8627.75,8535.849609,8537.049805,156700
2015-03-25,8530.799805,8573.75,8516.549805,8568.900391,161000
2015-03-26,8342.150391,8499.450195,8325.349609,8474.950195,280100
2015-03-27,8341.400391,8413.200195,8269.150391,8396.0,193000
2015-03-30,8492.299805,8492.299805,8380.75,8390.950195,134700
2015-03-31,8491.0,8550.450195,8454.150391,8527.599609,167200
2015-04-01,8586.25,8603.400391,8464.75,8483.700195,125500
2015-04-06,8659.900391,8667.549805,8573.75,8615.799805,146900
2015-04-07,8660.299805,8693.599609,8586.849609,8684.450195,148700
2015-04-08,8714.400391,8730.5,8679.799805,8698.950195,148200
2015-04-09,8778.299805,8785.5,8682.450195,8756.200195,152700
2015-04-10,8780.349609,8787.400391,8733.599609,8774.349609,139000
2015-04-13,8834.0,8841.650391,8762.099609,8801.75,121600
2015-04-16,8706.700195,8760.0,8645.650391,8757.049805,142900
2015-04-17,8606.0,8699.849609,8596.700195,8698.049805,150400
2015-04-20,8448.099609,8619.950195,8422.75,8618.799805,148900
2015-04-21,8377.75,8469.349609,8352.700195,8416.099609,407800
2015-04-22,8429.700195,8449.950195,8284.700195,8400.400391,171800
2015-04-23,8398.299805,8504.950195,8361.849609,8478.200195,156000
2015-04-24,8305.25,8413.299805,8273.349609,8405.700195,173600
2015-04-27,8213.799805,8334.450195,8202.349609,8330.549805,171500
2015-04-28,8285.599609,8308.0,8185.149902,8215.549805,174600
2015-04-29,8239.75,8308.200195,8219.200195,8274.799805,160400
2015-04-30,8181.5,8229.400391,8144.75,8224.5,267700
2015-05-04,8331.950195,8346.0,8220.450195,8230.049805,131700
2015-05-05,8324.799805,8355.650391,8280.599609,8338.400391,155500
