Date,Close,High,Low,Open,Volume
2015-01-01,294.0238342285156,294.9835927131261,292.27121107056894,294.3576498674838,2583280
2015-01-02,302.36968994140625,303.37119294572136,293.77346749454347,293.77346749454347,8272990
2015-01-05,302.99560546875,306.6260573694012,301.7020032554291,304.87343411211407,10316090
2015-01-06,290.14306640625,300.3667365273545,288.93292490226145,299.9494318623105,13282427
2015-01-07,282.2979431152344,288.9746205119431,279.961121435418,288.4321385473316,21254332
2015-01-08,289.9761047363281,290.85240230333085,284.7599517335882,287.9313543804829,12558144
2015-01-09,285.302490234375,292.43816161299736,281.33822213149034,292.0626014360396,15701030
2015-01-12,289.2250061035156,290.1013318371867,282.67353339452285,286.05360291287326,8304115
2015-01-13,284.50958251953125,291.26972071858046,283.5498239934101,291.26972071858046,13100848
2015-01-14,281.1712341308594,285.2606786586188,277.9163426743144,283.132495484334,13127934
2015-01-15,294.4829406738281,297.1118621651694,290.0596510388738,293.89871410741966,16662989
2015-01-16,295.31744384765625,295.943386709151,289.97611332469603,294.48286270447,14726646
2015-01-19,301.1178283691406,301.952409603704,295.0253769519012,296.69453942102786,10277015
2015-01-20,306.91815185546875,308.170037598456,300.1997581364678,300.1997581364678,11477610
2015-01-21,307.5023803710937,309.5888192683902,304.74825413089843,305.874934497409,12457852
2015-01-22,308.6290588378906,310.71552573876505,304.2892312178652,307.8779385981736,9320935
2015-01-23,309.3801574707031,313.3861691579776,307.71099527314504,312.88540368885884,13525550
2015-01-27,320.0628967285156,321.1478608289072,311.0493962299833,312.5516649906891,13932787
2015-01-28,320.5218811035156,328.3252392172344,318.4771585434371,319.6038389724899,14787690
2015-01-29,317.3921813964844,320.3132295133364,313.42791381636573,317.22525955842065,22085259
2015-01-30,301.03436279296875,318.8110072522871,295.98513099283986,318.3519861795481,31372235
2015-02-02,293.6482849121094,301.0343379193373,292.1042999738492,300.7004942516852,37165959
2015-02-03,289.2667236328125,297.7794853275377,288.0148378488636,293.7734732320384,25975650
2015-02-04,287.6392822265625,289.8092101483816,283.9671137535899,288.8077071088053,15639435
2015-02-05,280.0862731933594,288.18172943817245,277.7077072633899,284.5095614082433,18771838
2015-02-06,274.87017822265625,283.7585009883181,273.4931149213967,280.42017590032805,17811770
2015-02-09,267.1085510253906,273.32617979920974,265.81492069932847,273.32617979920974,15330887
2015-02-10,276.2889404296875,279.5855205013568,264.06226657609113,265.8148897598776,31301276
2015-02-11,279.3352355957031,283.7167806421785,278.7092925843704,278.8344699800661,13732188
2015-02-12,283.049072265625,284.8851565061998,275.4126360862202,282.2562355358272,14372362
2015-02-13,286.9716186523437,288.6825254898821,283.9253931259545,287.0967960242918,9926537
2015-02-16,282.13104248046875,289.55884068903987,280.7539792398307,289.55884068903987,11084024
2015-02-18,285.7614440917969,287.0967626253055,283.50805554392576,283.50805554392576,8830098
2015-02-19,282.5483093261719,286.97159768651534,277.29041182574514,283.8419114686716,10326464
2015-02-20,276.2055053710937,280.2532340573809,274.1607547849106,279.585546674257,17197010
2015-02-23,274.5780639648437,279.1682747180305,272.9089015121255,277.9163888702803,12236793
2015-02-24,272.11602783203125,276.58106106085023,270.8224255726993,274.9953315678957,12177664
2015-02-25,269.1531982421875,276.24715073083684,268.1099509827522,273.40956413209403,18029910
2015-02-26,268.1517944335937,271.61532506332475,267.1920077212514,270.9893820798711,18356309
2015-02-27,279.7942199707031,281.2964605873685,269.5705508339693,270.9058976171122,17157486
2015-03-02,291.3114929199219,293.7318039565214,284.2175377098344,292.8137617052244,16237130
2015-03-03,290.9776611328125,291.68703700314626,287.18028692898514,290.4351791036943,16309976
2015-03-04,291.5618591308594,302.11934442007214,288.8077325336734,300.4501818793093,27007377
2015-03-05,290.2264709472656,292.020838633664,283.84192093582755,289.09979059520373,12677758
2015-03-09,277.7494506835937,286.22049585994233,276.87315305485373,285.4276311341497,13711772
2015-03-10,278.4588317871094,281.922361601055,275.7047057217495,277.66599514237856,15690129
2015-03-11,277.6242980957031,281.2130058832314,274.57807232428746,278.4171628922732,11762499
2015-03-12,282.2562561035156,283.5081139846786,279.29346321474947,281.71377408232286,12265104
2015-03-13,275.5795593261719,288.76596474669145,274.5780562792888,287.9313835436926,14368069
2015-03-16,276.6227722167969,277.91637445135973,271.78217894191624,274.9953263024417,12496540
2015-03-17,279.4603881835937,280.83745147971257,275.5378366083516,277.0818217615317,11214858
2015-03-18,279.418701171875,280.8792255504303,276.2890140796643,277.99989325376873,9603665
2015-03-19,275.5795593261719,284.9269024194657,274.0355742948762,283.3411729189878,15488184
2015-03-20,265.8983764648437,274.7866986266941,264.3126749574126,274.49459940380183,23389273
2015-03-23,261.89239501953125,269.06981035730195,260.7656865529336,268.77771113130365,11517028
2015-03-24,260.3066101074219,264.27090509951927,258.2618879439561,259.13821345196544,18209548
2015-03-25,264.4795837402344,266.2322070074426,259.63899051743874,260.3901107724678,15109255
2015-03-26,257.0100402832031,261.8088884904011,252.54500769767384,259.5554999661515,34971712
2015-03-27,262.51837158203125,263.89543498084873,257.2604727745998,261.22474110154224,17383920
2015-03-30,265.9818725585937,266.64956003226115,261.5168666687882,263.97886617044435,14140124
2015-03-31,263.3111877441406,269.361922931582,261.8924079976598,266.1487752535267,14317689
2015-04-01,269.6957397460937,270.7389592198593,262.1010201691296,262.8938848997012,9190830
2015-04-06,268.11004638671875,271.61532144406607,266.5243447284779,271.61532144406607,10512775
2015-04-07,264.8969116210937,269.94614411117817,262.8939332252441,269.52886745153614,9849292
2015-04-08,262.977294921875,266.8163564108438,262.5182739596315,266.1486971975122,9158573
2015-04-09,267.56756591796875,268.6525018823352,264.4795958213267,265.39763795639084,13516230
2015-04-10,265.6479797363281,268.44382216335066,264.729937742915,266.64948263972593,9053218
2015-04-13,264.4795837402344,266.9833272624716,263.72846348520534,266.9833272624716,8810668
2015-04-15,262.8939208984375,268.98637276838525,261.2664747627188,265.6897640395103,11297754
2015-04-16,260.8074035644531,263.72845154974374,258.8461420965906,263.64499063447084,9682703
2015-04-17,258.8044128417969,262.8521413965438,257.26042784313205,262.10102113136134,11639567
2015-04-20,259.68072509765625,265.0637720646821,257.30215903634894,261.14124910078954,11663690
2015-04-21,259.43035888671875,264.2292077649489,258.67923861241104,259.55553626029604,9953639
2015-04-22,261.1829833984375,262.8938902661021,253.21270352756517,261.433366163164,12256206
2015-04-23,260.26495361328125,263.64502303981646,258.512330209971,262.26795979318536,10352840
2015-04-24,257.2604064941406,260.8491136983059,256.30064801636985,260.76565278505376,13482295
2015-04-27,252.29464721679688,260.7656641242629,247.6209759535417,259.30516811989,24819034
2015-04-28,272.7836608886719,274.24418485028576,255.0487630901851,255.0487630901851,37447522
2015-04-29,275.537841796875,279.4186769891423,271.32319090062373,273.5765799805346,24501414
2015-04-30,276.3723449707031,278.4170951556656,271.4065751234259,276.2471676191409,20787994
2015-05-04,274.828369140625,281.1712014799265,272.2411372513444,277.7076721577793,11308400
2015-05-05,274.1190185546875,276.16374097692653,272.99233820158685,274.8284223398637,10109107
2015-05-06,260.5153503417969,282.0893423610814,258.84618777462583,272.82545929521456,19967506
2015-05-07,254.2141571044922,261.22464902134016,250.8758329567392,260.5569897950729,16086181
2015-05-08,264.5630187988281,266.1487200729374,258.7209231349054,258.7209231349054,15672276
2015-05-11,269.9878234863281,271.9073685005415,266.31565528808,267.1085199732181,9605442
2015-05-12,257.2187194824219,270.4051250390545,256.21721642520106,270.0295648946495,13692241
2015-05-13,265.1055603027344,266.3574182146728,255.79993280251188,261.34993053406936,15431501
2015-05-14,262.8521728515625,265.3559167072628,259.7642305011263,265.1472783900607,11672149
2015-05-15,260.6822204589844,264.10400584413736,259.1799520335757,263.14421934784576,12014773
2015-05-18,263.9371032714844,264.47958524017554,261.1412605249266,262.89388380207447,7629436
2015-05-19,263.1859436035156,266.1487077454846,260.3900732591817,262.0175189215664,9064851
2015-05-20,266.0235900878906,267.90139087630826,263.9371229768749,263.9371229768749,7555070
2015-05-21,261.6837158203125,267.73445041007324,260.9743400253551,267.2337129067844,11132704
2015-05-22,261.7254638671875,265.52280970301723,260.1814788516011,262.89388874606664,8944914
2015-05-25,260.5153503417969,262.14276843575493,259.51384719820925,260.3901449385828,5481212
2015-05-26,258.4705810546875,261.22470749803625,257.5942833771254,260.390126274272,5505501
2015-05-27,261.349853515625,262.7269164244414,256.63443845377645,260.22317332197974,12557150
2015-05-28,262.4765625,263.7284481967569,259.97281912290583,262.2679242226804,11520281
2015-05-29,264.77166748046875,266.148730539713,262.72694512425085,264.64649011741733,22664703
2015-06-01,264.1040344238281,266.2322179056681,263.72847428094,264.5630554891827,7621775
2015-06-02,254.13075256347656,264.9803364664479,252.87889473862472,264.5630598636383,13982208
2015-06-03,246.828125,253.92207839349084,242.69693592706528,253.92207839349084,22831293
2015-06-04,246.27633666992188,248.56847692456728,242.32879186837488,247.7195434779406,20759124
2015-06-05,241.18272399902344,248.22887980516956,240.2488944043404,247.21015402022277,23735127
2015-06-08,240.376220703125,242.49856843028283,237.99919865824472,242.49856843028283,21145729
2015-06-09,243.7295379638672,244.32378283102364,239.44240835564335,240.16401176449,19411474
2015-06-10,248.31378173828125,249.8843185471557,243.3899450801993,243.6446336568807,17487792
2015-06-11,244.9180603027344,252.3038014104803,243.2201933696327,251.2850755509754,21760535
2015-06-12,251.2425994873047,252.13399525253908,243.7719625909332,245.76698035189844,20748570
2015-06-15,254.00161743164065,254.9778807481155,248.90798915508,250.4360918871552,17020704
2015-06-16,256.421142578125,257.2276422077521,249.50231619718835,252.17644668291496,15828124
2015-06-17,255.82687377929688,258.3312116354137,254.72325180977148,258.28877778960924,16849471
2015-06-18,257.52471923828125,259.5197082883323,256.6757859085862,258.5434449335583,15455462
2015-06-19,258.5434875488281,259.77443965487083,255.02039512604875,255.02039512604875,9060393
2015-06-22,267.4573059082031,268.1789093389884,259.81687610683696,260.11399854944847,17123638
